Table 1
Place,% Insufficient Sleep,Error Margin,state,
Eagle,24%,23-24%,Colorado,
El Paso,29%,28-29%,Colorado,
Elbert,26%,25-27%,Colorado,
Fremont,29%,28-30%,Colorado,
Garfield,26%,25-27%,Colorado,
Gilpin,26%,25-28%,Colorado,
Grand,24%,23-25%,Colorado,
Gunnison,26%,25-27%,Colorado,
Hinsdale,25%,24-26%,Colorado,
Huerfano,28%,27-29%,Colorado,
Jackson,27%,26-28%,Colorado,
Jefferson,25%,25-26%,Colorado,
Kiowa,27%,26-28%,Colorado,
Kit Carson,28%,27-28%,Colorado,
La Plata,23%,23-24%,Colorado,
Lake,27%,26-28%,Colorado,
Larimer,25%,24-26%,Colorado,
Las Animas,27%,27-28%,Colorado,
Lincoln,30%,29-31%,Colorado,
Logan,27%,26-27%,Colorado,
Mesa,27%,26-28%,Colorado,
Mineral,24%,23-25%,Colorado,
Moffat,28%,27-29%,Colorado,
Montezuma,28%,27-29%,Colorado,
Montrose,26%,25-27%,Colorado,
Morgan,28%,27-28%,Colorado,
Otero,29%,28-30%,Colorado,
Ouray,25%,23-26%,Colorado,
Park,27%,26-28%,Colorado,
Phillips,25%,24-26%,Colorado,
Pitkin,25%,24-26%,Colorado,
Prowers,28%,27-29%,Colorado,
Pueblo,33%,32-34%,Colorado,
Rio Blanco,27%,26-28%,Colorado,
Rio Grande,26%,25-27%,Colorado,
Routt,26%,25-27%,Colorado,
Saguache,30%,29-30%,Colorado,
San Juan,27%,26-28%,Colorado,
San Miguel,26%,25-27%,Colorado,
Sedgwick,28%,27-29%,Colorado,
Summit,26%,25-27%,Colorado,
Teller,23%,22-24%,Colorado,
Washington,28%,27-29%,Colorado,
Weld,28%,27-29%,Colorado,
Yuma,24%,24-25%,Colorado,
Fairfield,32%,32-33%,Connecticut,
Hartford,33%,32-34%,Connecticut,
Litchfield,29%,28-30%,Connecticut,
Middlesex,31%,30-31%,Connecticut,
New Haven,35%,35-36%,Connecticut,
New London,30%,29-31%,Connecticut,
Tolland,31%,30-32%,Connecticut,
Windham,34%,33-35%,Connecticut,
Kent,37%,36-38%,Delawaare,
New Castle,37%,36-38%,Delawaare,
Sussex,32%,31-33%,Delawaare,
District of Columbia,36%,35-37%,D.C.,
Alachua,36%,35-37%,Florida,
Baker,37%,36-38%,Florida,
Bay,37%,36-37%,Florida,
Bradford,38%,38-39%,Florida,
Brevard,33%,33-34%,Florida,
Broward,37%,36-37%,Florida,
Calhoun,40%,39-41%,Florida,
Charlotte,32%,31-32%,Florida,
Citrus,35%,34-35%,Florida,
Clay,37%,36-37%,Florida,
Collier,29%,28-29%,Florida,
Columbia,40%,39-40%,Florida,
DeSoto,36%,35-36%,Florida,
Dixie,37%,36-37%,Florida,
Duval,37%,37-38%,Florida,
Escambia,36%,36-37%,Florida,
Flagler,32%,31-33%,Florida,
Franklin,34%,33-35%,Florida,
Gadsden,38%,38-39%,Florida,
Gilchrist,36%,35-37%,Florida,
Glades,37%,37-38%,Florida,
Gulf,35%,35-36%,Florida,
Hamilton,40%,39-41%,Florida,
Hardee,36%,35-37%,Florida,
Hendry,36%,36-37%,Florida,
Hernando,37%,36-37%,Florida,
Highlands,31%,31-32%,Florida,
Hillsborough,33%,33-34%,Florida,
Holmes,37%,36-38%,Florida,
Indian River,34%,33-35%,Florida,
Jackson,37%,37-38%,Florida,
Jefferson,36%,36-37%,Florida,
Lafayette,40%,39-41%,Florida,
Lake,35%,34-35%,Florida,
Lee,32%,31-32%,Florida,
Leon,32%,32-33%,Florida,
Levy,40%,39-41%,Florida,
Liberty,41%,40-42%,Florida,
Madison,38%,37-39%,Florida,
Manatee,33%,32-34%,Florida,
Marion,35%,34-36%,Florida,
Martin,25%,25-26%,Florida,
Miami-Dade,33%,33-34%,Florida,
Monroe,31%,30-31%,Florida,
Nassau,35%,34-35%,Florida,
Okaloosa,36%,36-37%,Florida,
Okeechobee,36%,36-37%,Florida,
Orange,36%,36-36%,Florida,
Osceola,40%,40-41%,Florida,
Palm Beach,37%,36-37%,Florida,
Pasco,35%,35-36%,Florida,
Pinellas,37%,36-37%,Florida,
Polk,35%,34-35%,Florida,
Putnam,37%,36-38%,Florida,
Santa Rosa,34%,34-35%,Florida,
Sarasota,29%,29-30%,Florida,
Seminole,35%,34-35%,Florida,
St. Johns,29%,28-29%,Florida,
St. Lucie,35%,35-36%,Florida,
Sumter,29%,28-30%,Florida,
Suwannee,40%,39-41%,Florida,
Taylor,40%,39-40%,Florida,
Union,39%,38-40%,Florida,
Volusia,35%,35-36%,Florida,
Wakulla,38%,37-38%,Florida,
Walton,33%,32-34%,Florida,
Washington,37%,36-38%,Florida,
Appling,36%,35-37%,Georgia,
Atkinson,38%,37-39%,Georgia,
Bacon,36%,35-38%,Georgia,
Baker,38%,37-39%,Georgia,
Baldwin,39%,38-40%,Georgia,
Banks,34%,33-35%,Georgia,
Barrow,36%,35-37%,Georgia,
Bartow,36%,34-37%,Georgia,
Ben Hill,39%,38-40%,Georgia,
Berrien,35%,34-36%,Georgia,
Bibb,40%,39-41%,Georgia,
Bleckley,36%,35-37%,Georgia,
Brantley,36%,34-37%,Georgia,
Brooks,38%,37-39%,Georgia,
Bryan,35%,34-36%,Georgia,
Bulloch,38%,37-40%,Georgia,
Burke,39%,38-40%,Georgia,
Butts,38%,37-39%,Georgia,
Calhoun,43%,42-45%,Georgia,
Camden,37%,36-38%,Georgia,
Candler,37%,37-39%,Georgia,
Carroll,35%,35-36%,Georgia,
Catoosa,34%,33-35%,Georgia,
Charlton,39%,38-40%,Georgia,
Chatham,38%,38-39%,Georgia,
Chattahoochee,38%,36-40%,Georgia,
Chattooga,36%,35-37%,Georgia,
Cherokee,33%,32-34%,Georgia,
Clarke,38%,37-39%,Georgia,
Clay,42%,41-43%,Georgia,
Clayton,42%,41-43%,Georgia,
Clinch,39%,38-40%,Georgia,
Cobb,35%,34-36%,Georgia,
Coffee,37%,36-38%,Georgia,
Colquitt,37%,36-38%,Georgia,
Columbia,36%,35-36%,Georgia,
Cook,37%,36-38%,Georgia,
Coweta,36%,35-37%,Georgia,
Crawford,35%,34-36%,Georgia,
Crisp,40%,39-41%,Georgia,
Dade,33%,32-35%,Georgia,
Dawson,32%,31-33%,Georgia,
Decatur,38%,38-39%,Georgia,
DeKalb,39%,38-40%,Georgia,
Dodge,36%,35-37%,Georgia,
Dooly,40%,39-41%,Georgia,
Dougherty,47%,46-48%,Georgia,
Douglas,39%,38-40%,Georgia,
Early,42%,41-43%,Georgia,
Echols,38%,37-39%,Georgia,
Effingham,36%,35-37%,Georgia,
Elbert,36%,35-37%,Georgia,
Emanuel,37%,36-38%,Georgia,
Evans,37%,36-38%,Georgia,
Fannin,33%,32-35%,Georgia,
Fayette,33%,32-34%,Georgia,
Floyd,33%,32-34%,Georgia,
Forsyth,31%,30-32%,Georgia,
Franklin,35%,34-36%,Georgia,
Fulton,37%,36-37%,Georgia,
Gilmer,33%,32-34%,Georgia,
Glascock,35%,33-36%,Georgia,
Glynn,37%,36-38%,Georgia,
Gordon,34%,33-35%,Georgia,
Grady,39%,38-40%,Georgia,
Greene,36%,35-37%,Georgia,
Gwinnett,35%,34-35%,Georgia,
Habersham,33%,32-34%,Georgia,
Hall,32%,31-33%,Georgia,
Hancock,42%,41-43%,Georgia,
Haralson,37%,35-38%,Georgia,
Harris,34%,33-35%,Georgia,
Hart,35%,34-37%,Georgia,
Heard,35%,34-36%,Georgia,
Henry,36%,35-37%,Georgia,
Houston,36%,35-37%,Georgia,
Irwin,38%,37-39%,Georgia,
Jackson,34%,33-35%,Georgia,
Jasper,37%,36-38%,Georgia,
Jeff Davis,38%,37-39%,Georgia,
Jefferson,40%,39-41%,Georgia,
Jenkins,39%,37-40%,Georgia,
Johnson,39%,38-40%,Georgia,
Jones,37%,36-38%,Georgia,
Lamar,38%,36-39%,Georgia,
Lanier,39%,38-40%,Georgia,
Laurens,36%,35-37%,Georgia,
Lee,35%,34-36%,Georgia,
Liberty,41%,40-42%,Georgia,
Lincoln,36%,35-37%,Georgia,
Long,38%,37-39%,Georgia,
Lowndes,37%,36-38%,Georgia,
Lumpkin,33%,32-34%,Georgia,
Macon,43%,41-44%,Georgia,
Madison,36%,35-37%,Georgia,
Marion,38%,37-39%,Georgia,
McDuffie,39%,38-40%,Georgia,
McIntosh,35%,34-36%,Georgia,
Meriwether,38%,37-39%,Georgia,
Miller,36%,35-37%,Georgia,
Mitchell,39%,38-40%,Georgia,
Monroe,35%,34-36%,Georgia,
Montgomery,35%,34-36%,Georgia,
Morgan,35%,34-36%,Georgia,
Murray,35%,34-36%,Georgia,
Muscogee,41%,40-42%,Georgia,
Newton,41%,40-42%,Georgia,
Oconee,33%,32-34%,Georgia,
Oglethorpe,37%,36-38%,Georgia,
Paulding,36%,35-37%,Georgia,
Peach,37%,36-38%,Georgia,
Pickens,30%,28-31%,Georgia,
Pierce,35%,34-37%,Georgia,
Pike,34%,33-35%,Georgia,
Polk,36%,35-37%,Georgia,
Pulaski,38%,37-39%,Georgia,
Putnam,35%,34-36%,Georgia,
Quitman,38%,37-39%,Georgia,
Rabun,33%,32-34%,Georgia,
Randolph,41%,40-42%,Georgia,
Richmond,42%,41-43%,Georgia,
Rockdale,38%,37-39%,Georgia,
Schley,36%,35-37%,Georgia,
Screven,39%,38-40%,Georgia,
Seminole,36%,35-37%,Georgia,
Spalding,39%,38-40%,Georgia,
Stephens,34%,33-36%,Georgia,
Stewart,42%,40-43%,Georgia,
Sumter,40%,39-41%,Georgia,
Talbot,39%,38-40%,Georgia,
Taliaferro,41%,40-42%,Georgia,
Tattnall,39%,38-40%,Georgia,
Taylor,38%,37-39%,Georgia,
Telfair,40%,39-41%,Georgia,
Terrell,41%,40-42%,Georgia,
Thomas,37%,36-38%,Georgia,
Tift,37%,36-38%,Georgia,
Toombs,37%,36-38%,Georgia,
Towns,31%,30-32%,Georgia,
Treutlen,37%,36-38%,Georgia,
Troup,38%,37-39%,Georgia,
Turner,39%,38-40%,Georgia,
Twiggs,40%,39-41%,Georgia,
Union,32%,31-33%,Georgia,
Upson,37%,36-38%,Georgia,
Walker,33%,32-34%,Georgia,
Walton,37%,36-38%,Georgia,
Ware,39%,38-40%,Georgia,
Warren,40%,39-41%,Georgia,
Washington,40%,39-41%,Georgia,
Wayne,36%,35-37%,Georgia,
Webster,38%,37-39%,Georgia,
Wheeler,39%,38-40%,Georgia,
White,33%,32-34%,Georgia,
Whitfield,38%,37-39%,Georgia,
Wilcox,38%,37-39%,Georgia,
Wilkes,38%,37-39%,Georgia,
Wilkinson,38%,37-39%,Georgia,
Worth,36%,35-37%,Georgia,
Hawaii,38%,37-38%,Hawaii,
Honolulu,45%,44-46%,Hawaii,
Kalawao,38%,37-39%,Hawaii,
Kauai,37%,37-38%,Hawaii,
Maui,38%,37-38%,Hawaii,
Ada,26%,26-27%,Idaho,
Adams,28%,27-29%,Idaho,
Bannock,32%,31-33%,Idaho,
Bear Lake,27%,26-28%,Idaho,
Benewah,31%,30-32%,Idaho,
Bingham,31%,30-32%,Idaho,
Blaine,26%,25-27%,Idaho,
Boise,31%,29-32%,Idaho,
Bonner,28%,27-29%,Idaho,
Bonneville,29%,28-30%,Idaho,
Boundary,29%,28-30%,Idaho,
Butte,29%,28-30%,Idaho,
Camas,29%,28-31%,Idaho,
Canyon,32%,31-32%,Idaho,
Caribou,29%,27-30%,Idaho,
Cassia,29%,28-30%,Idaho,
Clark,32%,31-33%,Idaho,
Clearwater,29%,28-30%,Idaho,
Custer,28%,27-30%,Idaho,
Elmore,30%,29-31%,Idaho,
Franklin,30%,28-31%,Idaho,
Fremont,27%,26-28%,Idaho,
Gem,30%,29-31%,Idaho,
Gooding,31%,30-32%,Idaho,
Idaho,28%,27-29%,Idaho,
Jefferson,28%,27-29%,Idaho,
Jerome,31%,30-32%,Idaho,
Kootenai,31%,30-32%,Idaho,
Latah,27%,26-28%,Idaho,
Lemhi,27%,26-28%,Idaho,
Lewis,29%,28-30%,Idaho,
Lincoln,31%,30-32%,Idaho,
Madison,29%,28-31%,Idaho,
Minidoka,29%,29-30%,Idaho,
Nez Perce,30%,29-31%,Idaho,
Oneida,29%,28-31%,Idaho,
Owyhee,32%,31-33%,Idaho,
Payette,31%,30-32%,Idaho,
Power,29%,28-30%,Idaho,
Shoshone,28%,27-29%,Idaho,
Teton,28%,27-29%,Idaho,
Twin Falls,28%,27-29%,Idaho,
Valley,28%,27-29%,Idaho,
Washington,29%,28-30%,Idaho,
Adams,29%,28-30%,Illinois,
Alexander,36%,35-38%,Illinois,
Bond,31%,30-32%,Illinois,
Boone,31%,30-32%,Illinois,
Brown,33%,32-34%,Illinois,
Bureau,31%,30-32%,Illinois,
Calhoun,30%,29-32%,Illinois,
Carroll,28%,27-29%,Illinois,
Cass,31%,30-32%,Illinois,
Champaign,29%,28-30%,Illinois,
Christian,31%,29-32%,Illinois,
Clark,31%,30-33%,Illinois,
Clay,31%,30-32%,Illinois,
Clinton,31%,30-32%,Illinois,
Coles,31%,30-32%,Illinois,
Cook,33%,33-34%,Illinois,
Crawford,31%,30-32%,Illinois,
Cumberland,30%,29-32%,Illinois,
De Witt,30%,29-32%,Illinois,
DeKalb,29%,28-30%,Illinois,
Douglas,31%,29-32%,Illinois,
DuPage,30%,29-31%,Illinois,
Edgar,29%,28-31%,Illinois,
Edwards,30%,29-31%,Illinois,
Effingham,29%,27-30%,Illinois,
Fayette,31%,30-32%,Illinois,
Ford,31%,29-32%,Illinois,
Franklin,31%,30-32%,Illinois,
Fulton,32%,30-33%,Illinois,
Gallatin,30%,29-32%,Illinois,
Greene,31%,29-32%,Illinois,
Grundy,30%,29-31%,Illinois,
Hamilton,30%,29-32%,Illinois,
Hancock,29%,28-31%,Illinois,
Hardin,31%,30-33%,Illinois,
Henderson,30%,29-31%,Illinois,
Henry,30%,28-31%,Illinois,
Iroquois,31%,29-32%,Illinois,
Jackson,35%,33-36%,Illinois,
Jasper,29%,28-30%,Illinois,
Jefferson,31%,30-33%,Illinois,
Jersey,30%,29-31%,Illinois,
Jo Daviess,27%,26-29%,Illinois,
Johnson,31%,30-33%,Illinois,
Kane,32%,31-33%,Illinois,
Kankakee,32%,31-33%,Illinois,
Kendall,31%,30-32%,Illinois,
Knox,30%,29-31%,Illinois,
Lake,32%,31-33%,Illinois,
LaSalle,31%,29-32%,Illinois,
Lawrence,33%,32-34%,Illinois,
Lee,30%,29-31%,Illinois,
Livingston,30%,29-31%,Illinois,
Logan,31%,30-32%,Illinois,
Macon,32%,31-33%,Illinois,
Macoupin,31%,30-32%,Illinois,
Madison,33%,32-34%,Illinois,
Marion,31%,30-32%,Illinois,
Marshall,29%,28-30%,Illinois,
Mason,30%,28-31%,Illinois,
Massac,31%,30-33%,Illinois,
McDonough,31%,30-33%,Illinois,
McHenry,30%,29-31%,Illinois,
McLean,32%,31-33%,Illinois,
Menard,30%,29-31%,Illinois,
Mercer,28%,27-30%,Illinois,
Monroe,28%,27-30%,Illinois,
Montgomery,31%,30-32%,Illinois,
Morgan,32%,30-33%,Illinois,
Moultrie,30%,29-31%,Illinois,
Ogle,29%,28-31%,Illinois,
Peoria,32%,31-32%,Illinois,
Perry,32%,31-33%,Illinois,
Piatt,29%,28-30%,Illinois,
Pike,30%,29-31%,Illinois,
Pope,30%,29-31%,Illinois,
Pulaski,35%,34-36%,Illinois,
Putnam,29%,28-31%,Illinois,
Randolph,31%,30-33%,Illinois,
Richland,31%,29-32%,Illinois,
Rock Island,33%,32-34%,Illinois,
Saline,32%,30-33%,Illinois,
Sangamon,33%,32-34%,Illinois,
Schuyler,31%,30-33%,Illinois,
Scott,30%,29-31%,Illinois,
Shelby,30%,28-31%,Illinois,
St. Clair,35%,34-35%,Illinois,
Stark,29%,28-31%,Illinois,
Stephenson,31%,29-32%,Illinois,
Tazewell,28%,27-29%,Illinois,
Union,31%,29-32%,Illinois,
Vermilion,32%,31-33%,Illinois,
Wabash,29%,28-31%,Illinois,
Warren,31%,30-32%,Illinois,
Washington,30%,28-31%,Illinois,
Wayne,30%,29-31%,Illinois,
White,29%,28-31%,Illinois,
Whiteside,29%,28-30%,Illinois,
Will,31%,31-32%,Illinois,
Williamson,31%,30-33%,Illinois,
Winnebago,36%,35-37%,Illinois,
Woodford,28%,27-29%,Illinois,
Adams,34%,33-35%,Indiana,
Allen,31%,30-32%,Indiana,
Bartholomew,33%,32-34%,Indiana,
Benton,34%,32-35%,Indiana,
Blackford,36%,34-37%,Indiana,
Boone,34%,33-35%,Indiana,
Brown,32%,31-33%,Indiana,
Carroll,33%,32-35%,Indiana,
Cass,34%,33-35%,Indiana,
Clark,35%,34-36%,Indiana,
Clay,35%,34-36%,Indiana,
Clinton,35%,34-36%,Indiana,
Crawford,34%,33-36%,Indiana,
Daviess,34%,33-36%,Indiana,
Dearborn,33%,32-34%,Indiana,
Decatur,35%,34-36%,Indiana,
DeKalb,36%,34-37%,Indiana,
Delaware,34%,33-35%,Indiana,
Dubois,31%,30-32%,Indiana,
Elkhart,32%,31-33%,Indiana,
Fayette,34%,33-36%,Indiana,
Floyd,35%,34-36%,Indiana,
Fountain,36%,35-37%,Indiana,
Franklin,34%,33-35%,Indiana,
Fulton,35%,34-36%,Indiana,
Gibson,32%,31-34%,Indiana,
Grant,36%,35-37%,Indiana,
Greene,32%,30-33%,Indiana,
Hamilton,30%,29-31%,Indiana,
Hancock,33%,32-34%,Indiana,
Harrison,34%,32-35%,Indiana,
Hendricks,35%,34-36%,Indiana,
Henry,32%,30-33%,Indiana,
Howard,36%,35-37%,Indiana,
Huntington,34%,33-35%,Indiana,
Jackson,37%,35-38%,Indiana,
Jasper,37%,35-38%,Indiana,
Jay,37%,35-38%,Indiana,
Jefferson,34%,33-35%,Indiana,
Jennings,35%,33-36%,Indiana,
Johnson,32%,31-33%,Indiana,
Knox,31%,30-32%,Indiana,
Kosciusko,33%,32-34%,Indiana,
LaGrange,35%,34-36%,Indiana,
Lake,39%,38-39%,Indiana,
LaPorte,37%,36-38%,Indiana,
Lawrence,35%,34-37%,Indiana,
Madison,37%,37-38%,Indiana,
Marion,35%,35-36%,Indiana,
Marshall,36%,35-37%,Indiana,
Martin,34%,32-35%,Indiana,
Miami,36%,35-37%,Indiana,
Monroe,32%,31-33%,Indiana,
Montgomery,34%,33-35%,Indiana,
Morgan,31%,30-32%,Indiana,
Newton,34%,33-35%,Indiana,
Noble,33%,32-34%,Indiana,
Ohio,32%,31-33%,Indiana,
Orange,34%,32-35%,Indiana,
Owen,35%,34-36%,Indiana,
Parke,35%,34-37%,Indiana,
Perry,33%,32-34%,Indiana,
Pike,34%,32-35%,Indiana,
Porter,37%,36-38%,Indiana,
Posey,32%,30-33%,Indiana,
Pulaski,34%,33-35%,Indiana,
Putnam,31%,30-32%,Indiana,
Randolph,36%,34-37%,Indiana,
